FIPS,EP_POV150
37001,26.1
37003,23
37005,36
37007,32.6
37009,24.2
37011,25.3
37013,29
37015,37.9
37017,37.1
37019,18.2
37021,22.3
37023,30
37025,17.4
37027,27.3
37029,16.7
37031,17.5
37033,24.6
37035,21.7
37037,19.8
37039,30.5
37041,29.3
37043,25.3
37045,31.5
37047,35.6
37049,24.1
37051,29.8
37053,14.3
37055,16.2
37057,25.9
37059,20.2
37061,32.7
37063,21.7
37065,35.5
37067,25.5
37069,23
37071,24.2
37073,23.6
37075,23
37077,23.9
37079,32.6
37081,24.7
37083,40.5
37085,26.3
37087,22.6
37089,19.1
37091,35.5
37093,27.1
37095,30.3
37097,18.3
37099,29
37101,22.2
37103,35.1
37105,27.5
37107,34.4
37109,19.6
37111,27.5
37113,27
37115,24.9
37117,33.4
37119,19.3
37121,23.1
37123,26.9
37125,18.2
37127,27.1
37129,24
37131,33.2
37133,25.3
37135,18.6
37137,27.7
37139,22.8
37141,22
37143,23.1
37145,24
37147,29.9
37149,18.5
37151,26.7
37153,35
37155,41
37157,27.4
37159,26.5
37161,31
37163,32.4
37165,40.3
37167,21.6
37169,23.6
37171,29.8
37173,31.1
37175,24.8
37177,30.2
37179,14.2
37181,34
37183,14.6
37185,34.4
37187,36.3
37189,34.1
37191,29.8
37193,27.6
37195,34.9
37197,26.4
37199,25.6